model_type,pred_type,filename,n_estimators,learning_rate,max_depth,features,time_taken,accuracy,precision,recall,f1,auc,sensitivity,specificity
gbm,MORTALITY,ModelResults/gbm_MORTALITY_suctaa.txt,10,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.0836,0.8968,0.0,0.0,0.0,0.5648,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_llylik.txt,10,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.8351,0.8968,0.0,0.0,0.0,0.6794,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_alnvyk.txt,10,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.7544,0.8968,0.0,0.0,0.0,0.7242,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tddlex.txt,10,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.5197,0.8968,0.0,0.0,0.0,0.722,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_ihhrsi.txt,10,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.215,0.8968,0.0,0.0,0.0,0.5648,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_pbmvqm.txt,10,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.712,0.8968,0.0,0.0,0.0,0.6866,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hskzpj.txt,10,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.8036,0.8968,0.0,0.0,0.0,0.7297,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_erhkui.txt,10,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.5837,0.8968,0.0,0.0,0.0,0.728,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_mqmowg.txt,10,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.6515,0.8968,0.0,0.0,0.0,0.641,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_jcuiur.txt,10,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.9213,0.9015,0.8332,0.0578,0.1077,0.7327,0.0578,0.9986
gbm,MORTALITY,ModelResults/gbm_MORTALITY_lyuuhp.txt,10,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.9146,0.9021,0.814,0.0676,0.1247,0.7446,0.0676,0.9981
gbm,MORTALITY,ModelResults/gbm_MORTALITY_abkkeu.txt,10,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.6713,0.9025,0.7398,0.085,0.1524,0.7429,0.085,0.9965
gbm,MORTALITY,ModelResults/gbm_MORTALITY_kwuhsg.txt,10,0.2,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.0402,0.8977,0.7113,0.0098,0.0192,0.6709,0.0098,0.9999
gbm,MORTALITY,ModelResults/gbm_MORTALITY_cxmqql.txt,10,0.2,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.6668,0.9029,0.748,0.0895,0.1598,0.7451,0.0895,0.9965
gbm,MORTALITY,ModelResults/gbm_MORTALITY_pmczoy.txt,10,0.2,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.6996,0.9031,0.7147,0.1012,0.1771,0.7534,0.1012,0.9954
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tkgzyf.txt,10,0.2,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.1126,0.9,0.5767,0.1187,0.1966,0.7427,0.1187,0.9898
gbm,MORTALITY,ModelResults/gbm_MORTALITY_odadib.txt,50,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.4754,0.8968,0.0,0.0,0.0,0.565,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_sowtja.txt,50,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",18.5409,0.8968,0.0,0.0,0.0,0.7158,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_yhxhjw.txt,50,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",29.0547,0.8968,0.0,0.0,0.0,0.7372,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tpimvq.txt,50,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",56.8236,0.8969,0.4,0.0004,0.0007,0.7374,0.0004,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_zuncaw.txt,50,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.7119,0.8968,0.0,0.0,0.0,0.6437,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_mqjmko.txt,50,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",18.8974,0.9008,0.9144,0.0424,0.081,0.7318,0.0424,0.9995
gbm,MORTALITY,ModelResults/gbm_MORTALITY_aeojib.txt,50,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",28.9105,0.902,0.8393,0.0632,0.1174,0.745,0.0632,0.9986
gbm,MORTALITY,ModelResults/gbm_MORTALITY_sooqdr.txt,50,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",57.6777,0.9024,0.7612,0.0787,0.1425,0.7446,0.0787,0.9971
gbm,MORTALITY,ModelResults/gbm_MORTALITY_fizfpq.txt,50,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.8605,0.9003,0.9014,0.0376,0.0721,0.7075,0.0376,0.9995
gbm,MORTALITY,ModelResults/gbm_MORTALITY_xjqmxx.txt,50,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",18.8303,0.9035,0.7345,0.1012,0.1777,0.7598,0.1012,0.9958
gbm,MORTALITY,ModelResults/gbm_MORTALITY_cmabce.txt,50,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",29.0716,0.9033,0.6841,0.1173,0.2,0.7602,0.1173,0.9937
gbm,MORTALITY,ModelResults/gbm_MORTALITY_mgriwd.txt,50,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",51.4885,0.9014,0.6025,0.1322,0.2166,0.7499,0.1322,0.9899
gbm,MORTALITY,ModelResults/gbm_MORTALITY_bfsvrh.txt,50,0.2,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.6449,0.9018,0.8645,0.0574,0.1074,0.73,0.0574,0.9989
gbm,MORTALITY,ModelResults/gbm_MORTALITY_twogbr.txt,50,0.2,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",18.3981,0.9034,0.6935,0.1138,0.1954,0.7611,0.1138,0.9942
gbm,MORTALITY,ModelResults/gbm_MORTALITY_svsmsb.txt,50,0.2,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",27.671,0.9014,0.5993,0.1347,0.2198,0.7562,0.1347,0.9896
gbm,MORTALITY,ModelResults/gbm_MORTALITY_imokmr.txt,50,0.2,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",47.4217,0.8956,0.4836,0.1504,0.2292,0.7371,0.1504,0.9813
gbm,MORTALITY,ModelResults/gbm_MORTALITY_uxitxu.txt,100,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",15.4334,0.8968,0.0,0.0,0.0,0.6451,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_htstzn.txt,100,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",31.7989,0.9006,0.9127,0.0411,0.0786,0.7317,0.0411,0.9995
gbm,MORTALITY,ModelResults/gbm_MORTALITY_ncfgae.txt,100,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",53.3697,0.9018,0.8398,0.06,0.1119,0.745,0.06,0.9986
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hbfvel.txt,100,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",115.2036,0.9023,0.7633,0.078,0.1414,0.7451,0.078,0.9972
gbm,MORTALITY,ModelResults/gbm_MORTALITY_uhlwcg.txt,100,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",15.1263,0.8968,0.0,0.0,0.0,0.6728,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_ekrbgp.txt,100,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",31.3435,0.9032,0.7634,0.0895,0.1601,0.7458,0.0895,0.9968
gbm,MORTALITY,ModelResults/gbm_MORTALITY_oqfwod.txt,100,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",53.4153,0.9033,0.7474,0.0948,0.1682,0.7546,0.0948,0.9963
gbm,MORTALITY,ModelResults/gbm_MORTALITY_potlgr.txt,100,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",109.1199,0.9029,0.6944,0.1076,0.186,0.7512,0.1076,0.9944
gbm,MORTALITY,ModelResults/gbm_MORTALITY_mcylol.txt,100,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",15.637,0.9016,0.8747,0.0544,0.1024,0.7291,0.0544,0.9991
gbm,MORTALITY,ModelResults/gbm_MORTALITY_jzyjsc.txt,100,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",31.3735,0.9034,0.704,0.1106,0.1911,0.7619,0.1106,0.9946
gbm,MORTALITY,ModelResults/gbm_MORTALITY_kgxmct.txt,100,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",49.1515,0.9027,0.6435,0.1288,0.2144,0.758,0.1288,0.9918
gbm,MORTALITY,ModelResults/gbm_MORTALITY_qiysog.txt,100,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",88.9309,0.9001,0.5671,0.138,0.2218,0.7443,0.138,0.9878
gbm,MORTALITY,ModelResults/gbm_MORTALITY_smwiyc.txt,100,0.2,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",15.6855,0.9028,0.7962,0.0777,0.1415,0.7408,0.0777,0.9977
gbm,MORTALITY,ModelResults/gbm_MORTALITY_oentcl.txt,100,0.2,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",30.6885,0.9025,0.6468,0.1221,0.2054,0.7597,0.1221,0.9923
gbm,MORTALITY,ModelResults/gbm_MORTALITY_nmuqlw.txt,100,0.2,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",48.5039,0.899,0.5397,0.1434,0.2265,0.7501,0.1434,0.9859
gbm,MORTALITY,ModelResults/gbm_MORTALITY_xztuex.txt,100,0.2,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",89.757,0.8928,0.4465,0.1578,0.2329,0.7295,0.1578,0.9773
gbm,MORTALITY,ModelResults/gbm_MORTALITY_monkhi.txt,200,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",24.452,0.8968,0.0,0.0,0.0,0.6725,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_keycgf.txt,200,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",58.1108,0.9031,0.7603,0.0891,0.1594,0.7457,0.0891,0.9967
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tpbtmz.txt,200,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",101.3834,0.9032,0.7495,0.0933,0.1659,0.7545,0.0933,0.9964
gbm,MORTALITY,ModelResults/gbm_MORTALITY_lopbqn.txt,200,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",220.8857,0.9027,0.6885,0.1054,0.1826,0.7518,0.1054,0.9944
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hbhdfg.txt,200,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",26.037,0.8993,0.9218,0.026,0.0504,0.7009,0.026,0.9998
gbm,MORTALITY,ModelResults/gbm_MORTALITY_whpstk.txt,200,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",59.9559,0.9035,0.7509,0.0975,0.1724,0.7576,0.0975,0.9962
gbm,MORTALITY,ModelResults/gbm_MORTALITY_bulrou.txt,200,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",103.5049,0.9038,0.7198,0.1115,0.1929,0.761,0.1115,0.9949
gbm,MORTALITY,ModelResults/gbm_MORTALITY_zzmmwm.txt,200,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",199.8713,0.9023,0.6358,0.128,0.2126,0.7534,0.128,0.9914
gbm,MORTALITY,ModelResults/gbm_MORTALITY_cshqkm.txt,200,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",25.2629,0.9028,0.8012,0.0768,0.14,0.7402,0.0768,0.9978
gbm,MORTALITY,ModelResults/gbm_MORTALITY_kafydq.txt,200,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",56.4816,0.903,0.6675,0.12,0.2034,0.7607,0.12,0.9931
gbm,MORTALITY,ModelResults/gbm_MORTALITY_jabtgx.txt,200,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",95.2061,0.9011,0.5927,0.1343,0.2188,0.7531,0.1343,0.9894
gbm,MORTALITY,ModelResults/gbm_MORTALITY_wdxcti.txt,200,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",173.4088,0.8989,0.5376,0.1453,0.2285,0.7348,0.1453,0.9856
gbm,MORTALITY,ModelResults/gbm_MORTALITY_jrvuep.txt,200,0.2,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",25.01,0.9027,0.7332,0.0904,0.1607,0.7455,0.0904,0.9962
gbm,MORTALITY,ModelResults/gbm_MORTALITY_izttss.txt,200,0.2,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",57.7305,0.9013,0.5993,0.1308,0.2146,0.756,0.1308,0.9899
gbm,MORTALITY,ModelResults/gbm_MORTALITY_wufrmv.txt,200,0.2,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",97.1475,0.8954,0.4794,0.1528,0.2316,0.7391,0.1528,0.9809
gbm,MORTALITY,ModelResults/gbm_MORTALITY_yqmsbz.txt,200,0.2,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",176.4722,0.8929,0.4485,0.1617,0.2375,0.7203,0.1617,0.977
gbm,MORTALITY,ModelResults/gbm_MORTALITY_icftzw.txt,500,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",55.8275,0.9001,0.9207,0.0346,0.0667,0.7067,0.0346,0.9996
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hvtkor.txt,500,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",144.4913,0.9036,0.7435,0.1004,0.1768,0.7595,0.1004,0.996
gbm,MORTALITY,ModelResults/gbm_MORTALITY_xyvcvx.txt,500,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",273.2989,0.9039,0.7177,0.115,0.1981,0.7612,0.115,0.9947
gbm,MORTALITY,ModelResults/gbm_MORTALITY_zrhxhb.txt,500,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",548.5508,0.9023,0.632,0.1311,0.2168,0.7527,0.1311,0.991
gbm,MORTALITY,ModelResults/gbm_MORTALITY_xpypee.txt,500,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",61.1557,0.9016,0.876,0.0537,0.1011,0.7282,0.0537,0.9991
gbm,MORTALITY,ModelResults/gbm_MORTALITY_pfzmjv.txt,500,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",154.3032,0.9036,0.7178,0.1089,0.1891,0.762,0.1089,0.9951
gbm,MORTALITY,ModelResults/gbm_MORTALITY_evfmex.txt,500,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",268.7851,0.9034,0.6711,0.1256,0.2115,0.7592,0.1256,0.9929
gbm,MORTALITY,ModelResults/gbm_MORTALITY_sibqjf.txt,500,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",507.1654,0.9018,0.6109,0.1371,0.2236,0.748,0.1371,0.9898
gbm,MORTALITY,ModelResults/gbm_MORTALITY_kiefon.txt,500,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",62.4639,0.9029,0.7341,0.0928,0.1647,0.7458,0.0928,0.9961
gbm,MORTALITY,ModelResults/gbm_MORTALITY_awpndt.txt,500,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",153.6281,0.9018,0.6163,0.1304,0.215,0.7559,0.1304,0.9906
gbm,MORTALITY,ModelResults/gbm_MORTALITY_gnksao.txt,500,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",267.7663,0.8986,0.5301,0.1478,0.231,0.7416,0.1478,0.9849
gbm,MORTALITY,ModelResults/gbm_MORTALITY_nsocej.txt,500,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",458.6045,0.898,0.5208,0.1444,0.2258,0.7178,0.1444,0.9847
gbm,MORTALITY,ModelResults/gbm_MORTALITY_vefubk.txt,500,0.2,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",53.5644,0.9029,0.7072,0.1006,0.176,0.7461,0.1006,0.9952
gbm,MORTALITY,ModelResults/gbm_MORTALITY_sdpsqz.txt,500,0.2,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",136.9133,0.8978,0.5179,0.1448,0.2263,0.7451,0.1448,0.9844
gbm,MORTALITY,ModelResults/gbm_MORTALITY_fdauwp.txt,500,0.2,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",232.8547,0.8908,0.424,0.1611,0.2334,0.725,0.1611,0.9748
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hagktg.txt,500,0.2,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",429.3792,0.896,0.4878,0.1528,0.2326,0.7065,0.1528,0.9815
